UBIGEO,DEP,PROV,DIST,CODCP,NOMCP,MNOMCP,CAPITAL,CON_IE,NIVEL,CPINEI,CPINEI2,CPINEI_BKP,FUENTE_G,Z,XGD,YGD,Y_X_COORD
030304,APURIMAC,ANTABAMBA,JUAN ESPINOZA MEDRANO,618232,Huruhuacca,HURUHUACCA,0,0,,,,,INEI,3846,-72.89834564000,-14.44481253000,-14.44481253-72.8983456399999
080504,CUSCO,CANAS,LANGUI,210540,Chancarani,CHANCARANI,0,1,GIP,0805040013,,0805040013,MED-GPS,3968,-71.28177777000,-14.44475305000,-14.44475305-71.28177777
030301,APURIMAC,ANTABAMBA,ANTABAMBA,543382,Ampotaje,AMPOTAJE,0,0,,,,,IGN,4039,-72.78133927000,-14.44472090000,-14.4447208999999-72.7813392699999
211206,PUNO,SANDIA,QUIACA,623535,Calachaca,CALACHACA,0,0,,2112060008,,2112060008,INEI,3711,-69.38952166700,-14.45689166700,-14.456891667-69.3895216669999
050611,AYACUCHO,LUCANAS,LUCANAS,124133,Ccilccata,CCILCCATA,0,0,,0506110021,,0506110021,IGN,4052,-74.42885540000,-14.44462241000,-14.44462241-74.4288554
030301,APURIMAC,ANTABAMBA,ANTABAMBA,233207,Huayjohuasi,HUAYJOHUASI,0,0,,,,,IGN,4190,-72.75318151000,-14.44459604000,-14.44459604-72.7531815099999
210211,PUNO,AZANGARO,SAN ANTON,125841,Japu Japu,JAPU JAPU,0,0,,2102110015,,2102110015,IGN,4495,-70.21875602000,-14.44459091000,-14.4445909099999-70.2187560199999
030403,APURIMAC,AYMARAES,CARAYBAMBA,120398,Palca,PALCA,0,0,,0304030010,,0304030010,IGN,4246,-73.09942514000,-14.44444091000,-14.44444091-73.0994251399999
050613,AYACUCHO,LUCANAS,OTOCA,118478,Trajin,TRAJIN,0,0,,0506130012,,0506130012,IGN,2335,-74.70335990000,-14.44436192000,-14.4443619199999-74.7033599
080701,CUSCO,CHUMBIVILCAS,SANTO TOMAS,212957,Sayhuayoc,SAYHUAYOC,0,0,,,,,IGN,3652,-72.07470702000,-14.44433978000,-14.44433978-72.0747070199999
210209,PUNO,AZANGARO,POTONI,624771,Anansaya,ANANSAYA,0,0,,2102090055,,2102090055,INEI,4213,-70.05235930900,-14.44069383300,-14.440693833-70.0523593089999
010202,AMAZONAS,BAGUA,ARAMANGO,613408,Nuevo San Jose,NUEVO SAN JOSE,0,0,,,,,INEI,1199,-78.40035940000,-5.44237689000,-5.44237688999993-78.4003594
060812,CAJAMARCA,JAEN,SANTA ROSA,117541,Tomaque,TOMAQUE,0,1,P,0608120038,,0608120038,MED-GPS,838,-78.64635281000,-5.43560753000,-5.43560752999997-78.6463528099999
200803,PIURA,SECHURA,BERNAL,114788,Hacienda Santa Filomena,HACIENDA SANTA FILOMENA,0,0,,2008030007,,2008030007,IGN,11,-80.72553016000,-5.44127264000,-5.44127263999997-80.7255301599999
200805,PIURA,SECHURA,VICE,123985,San Pablo,SAN PABLO,0,0,,,,,IGN,0,-80.94187477000,-5.44087477000,-5.44087476999994-80.94187477
200805,PIURA,SECHURA,VICE,243361,Fundo Rio Frio,FUNDO RIO FRIO,0,0,,,,,IGN,12,-80.76834353000,-5.44049390000,-5.44049389999998-80.76834353
060904,CAJAMARCA,SAN IGNACIO,LA COIPA,115515,El Paraiso,EL PARAISO,0,1,IP,0609040057,,0609040057,MED-GPS,1372,-78.96184693000,-5.43546625000,-5.43546624999993-78.96184693
